Team/Member,Username,Rival,Record,Points Scored,Points Against,Inseason Rank,Final Rank,Misc,Manage
Team tibbetts,samuti1811601,---,9-4,"1,727.06","1,517.14",3,1,,Open options
Dreamville Goats,Jack56518,---,10-3,"1,764.98","1,609.18",1,2,,Open options
Team Infantino,Diesel85pass,---,8-5,"1,611.70","1,478.42",4,3,,Open options
Team Proctor,espn87825176,---,10-3,"1,717.96","1,565.00",2,4,,Open options
Team Rivers,espn20039266,---,6-7,"1,582.94","1,553.54",5,5,,Open options
Team Iannacci,anthon2231404,---,5-8,"1,423.76","1,618.96",8,6,,Open options
Team Hyatt,espn58351799,---,3-10,"1,481.42","1,667.26",9,7,,Open options
Suck my Cheznutz,2020tr5696099,---,6-7,"1,510.48","1,605.34",6,8,,Open options
Team sprague,colbysprague1,---,2-11,"1,495.42","1,671.86",10,9,,Open options
LA heavy nuts,baseballerpoop,---,6-7,"1,404.14","1,433.16",7,10,,Open options
