Week,Team,Score_2,Opponent,Score,Misc,Manage
Week 16,Team tibbetts,251.66,Dreamville Goats,237.62,Championship Game,Open options
Week 16,Team Infantino,264.96,Team Proctor,239.98,Playoff Game,Open options
Week 16,Team Iannacci,163.88,Team Rivers,230.00,Consolation Game,Open options
Week 16,Team Hyatt,188.64,Suck my Cheznutz,186.74,Consolation Game,Open options
Week 16,Team sprague,257.94,LA heavy nuts,146.52,Consolation Game,Open options
Week 14,Team Hyatt,243.00,Team sprague,205.34,Consolation Game,Open options
Week 14,LA heavy nuts,133.14,Team Iannacci,249.42,Consolation Game,Open options
Week 14,Team Rivers,212.32,Suck my Cheznutz,187.40,Consolation Game,Open options
Week 14,Team Proctor,174.14,Team tibbetts,219.50,Playoff Game,Open options
Week 14,Dreamville Goats,223.06,Team Infantino,207.68,Playoff Game,Open options
Week 13,Team Iannacci,125.76,Team Hyatt,123.82,,Open options
Week 13,Dreamville Goats,85.98,LA heavy nuts,70.86,,Open options
Week 13,Suck my Cheznutz,114.96,Team tibbetts,117.16,,Open options
Week 13,Team sprague,136.96,Team Rivers,89.84,,Open options
Week 13,Team Proctor,95.30,Team Infantino,102.64,,Open options
Week 12,LA heavy nuts,97.36,Suck my Cheznutz,113.70,,Open options
Week 12,Team Proctor,116.84,Team tibbetts,149.52,,Open options
Week 12,Dreamville Goats,150.04,Team sprague,146.68,,Open options
Week 12,Team Infantino,125.18,Team Iannacci,130.46,,Open options
Week 12,Team Hyatt,90.82,Team Rivers,118.08,,Open options
Week 11,Suck my Cheznutz,105.30,Team Proctor,116.84,,Open options
Week 11,Team Iannacci,105.24,Team tibbetts,166.12,,Open options
Week 11,Dreamville Goats,154.82,Team Hyatt,151.68,,Open options
Week 11,Team sprague,37.02,LA heavy nuts,100.62,,Open options
Week 11,Team Rivers,120.48,Team Infantino,121.78,,Open options
Week 10,Team Iannacci,103.32,Suck my Cheznutz,159.70,,Open options
Week 10,LA heavy nuts,126.50,Team Hyatt,101.76,,Open options
Week 10,Team tibbetts,142.86,Team Infantino,104.94,,Open options
Week 10,Team Rivers,115.64,Dreamville Goats,162.44,,Open options
Week 10,Team sprague,122.70,Team Proctor,158.80,,Open options
Week 9,Team Proctor,144.28,Team Iannacci,81.52,,Open options
Week 9,Team Infantino,138.12,Suck my Cheznutz,98.10,,Open options
Week 9,Team Rivers,112.96,LA heavy nuts,93.62,,Open options
Week 9,Team sprague,131.12,Team Hyatt,103.36,,Open options
Week 9,Dreamville Goats,178.32,Team tibbetts,114.80,,Open options
Week 8,Team Iannacci,113.74,LA heavy nuts,83.50,,Open options
Week 8,Suck my Cheznutz,100.80,Team Rivers,147.46,,Open options
Week 8,Team Infantino,141.24,Team sprague,134.76,,Open options
Week 8,Team Proctor,132.26,Dreamville Goats,123.50,,Open options
Week 8,Team tibbetts,147.62,Team Hyatt,86.56,,Open options
Week 7,Team tibbetts,135.02,LA heavy nuts,84.62,,Open options
Week 7,Team Proctor,111.16,Team Hyatt,110.18,,Open options
Week 7,Dreamville Goats,140.98,Team Infantino,138.80,,Open options
Week 7,Suck my Cheznutz,108.64,Team sprague,98.06,,Open options
Week 7,Team Iannacci,79.34,Team Rivers,113.84,,Open options
Week 6,Team Hyatt,84.80,Team Infantino,121.16,,Open options
Week 6,Team Iannacci,116.48,Team sprague,81.98,,Open options
Week 6,Suck my Cheznutz,143.76,Dreamville Goats,136.18,,Open options
Week 6,Team Proctor,147.20,LA heavy nuts,167.92,,Open options
Week 6,Team tibbetts,136.68,Team Rivers,118.82,,Open options
Week 5,Team Infantino,103.30,Team Proctor,114.88,,Open options
Week 5,LA heavy nuts,138.32,Team Rivers,115.38,,Open options
Week 5,Suck my Cheznutz,140.22,Team tibbetts,104.10,,Open options
Week 5,Team Hyatt,134.18,Team sprague,129.40,,Open options
Week 5,Dreamville Goats,109.12,Team Iannacci,107.36,,Open options
Week 4,Team tibbetts,125.86,Team Proctor,137.76,,Open options
Week 4,LA heavy nuts,99.90,Dreamville Goats,103.28,,Open options
Week 4,Team sprague,130.30,Team Rivers,167.00,,Open options
Week 4,Team Infantino,120.44,Team Iannacci,112.20,,Open options
Week 4,Team Hyatt,150.92,Suck my Cheznutz,105.08,,Open options
Week 3,Team Proctor,144.70,Suck my Cheznutz,106.90,,Open options
Week 3,Team tibbetts,134.76,Team Iannacci,79.14,,Open options
Week 3,Team sprague,118.90,Dreamville Goats,136.34,,Open options
Week 3,Team Rivers,108.94,Team Hyatt,86.52,,Open options
Week 3,LA heavy nuts,72.72,Team Infantino,137.74,,Open options
Week 2,Team Hyatt,150.04,Dreamville Goats,147.02,,Open options
Week 2,Suck my Cheznutz,97.28,Team Iannacci,139.54,,Open options
Week 2,Team Infantino,144.78,Team tibbetts,114.84,,Open options
Week 2,LA heavy nuts,127.60,Team sprague,122.60,,Open options
Week 2,Team Proctor,139.00,Team Rivers,136.00,,Open options
Week 1,Team sprague,104.94,Team tibbetts,137.72,,Open options
Week 1,Team Rivers,118.50,Dreamville Goats,136.96,,Open options
Week 1,Team Proctor,158.94,Team Iannacci,129.66,,Open options
Week 1,LA heavy nuts,140.60,Team Hyatt,106.78,,Open options
Week 1,Team Infantino,111.58,Suck my Cheznutz,116.04,,Open options
